,CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20
CAG41,-11.43913736,-11.50672002,-11.37440889,-9.675635615,-9.201050262,-6.923994977,-3.740771059,-7.9365234,-8.307416608,-7.418873492,-8.677724073,-8.599685692,-8.981837265,-9.454265391,-10.13310736,-10.56823832,-10.6664152,-10.56633174,-10.27058702,-8.959054891
CAG42,-11.48580212,-11.70576602,-11.24123368,-8.822918089,-8.519233031,-6.47324723,-3.377121355,-7.72404669,-8.235267176,-7.559298484,-8.889502237,-8.885237839,-9.294611283,-9.934722296,-10.39625415,-10.47884429,-10.2583803,-9.967320825,-9.915992652,-8.617161604
CAG43,-11.27290194,-11.66114174,-10.67628834,-7.856294097,-7.936111529,-6.333588022,-3.293086704,-7.711943612,-8.261590243,-7.880797686,-9.446983553,-9.425653786,-9.931351885,-10.35686864,-10.59075455,-10.59270831,-10.38453942,-10.21143616,-9.875091138,-8.385035822
CAG44,-11.30294992,-11.62389349,-10.08410157,-7.039653805,-7.503742207,-6.162730007,-3.283090667,-7.660211625,-8.328462962,-8.160445393,-9.734112986,-9.874773122,-10.21679331,-10.4372547,-10.50596859,-10.32145776,-10.25279629,-10.13105102,-9.498888014,-8.18878643
CAG45,-11.33804124,-11.30030091,-9.566867675,-6.444660278,-7.318199208,-6.095415203,-3.258288328,-7.668089799,-8.604226905,-8.464135195,-10.08606351,-10.24724329,-10.41900703,-10.45641021,-10.36618066,-10.28725804,-10.36254901,-9.88789541,-9.314748605,-8.020763121
CAG46,-11.2652096,-11.09638873,-9.433599229,-6.274238496,-7.336895995,-6.197502926,-3.406102705,-7.918784475,-8.869173707,-8.957783112,-10.35996302,-10.4445356,-10.42781281,-10.35789904,-10.32793996,-10.48526392,-10.23897118,-9.830307535,-9.314748605,-8.030168833
CAG47,-11.15755287,-11.04693099,-9.375202973,-6.314576511,-7.344362293,-6.398972774,-3.706995361,-8.266353216,-9.427685068,-9.291057619,-10.52650071,-10.49231447,-10.35378381,-10.37086939,-10.68984545,-10.55371328,-10.28629789,-9.873819682,-9.31838762,-8.152063305
CAG48,-11.14275465,-10.91173261,-9.37868191,-6.355620783,-7.534191007,-6.63298843,-3.983756253,-8.547837293,-9.644090494,-9.401198769,-10.5301682,-10.38825197,-10.40270232,-10.87821977,-10.7651699,-10.63600511,-10.35686864,-9.919311606,-9.436261801,-8.395194045
CAG49,-11.26648755,-10.96799456,-9.560809874,-6.584782672,-7.860739584,-6.985444126,-4.725608875,-8.894619773,-9.809539294,-9.394095345,-10.49231447,-10.41245321,-11.01958751,-10.98618559,-10.83162091,-10.71678556,-10.51136267,-10.08606351,-9.716045153,-8.794990961
CAG50,-11.2613855,-11.10505617,-9.949003396,-7.057072732,-8.221843332,-7.413297295,-5.10998822,-9.129283913,-9.954153622,-9.386261384,-10.71089886,-11.14728467,-11.2588442,-11.10505617,-11.04181065,-10.95386338,-10.76594479,-10.43113507,-10.09276304,-9.231664898
CAG51,-11.0448797,-11.08246242,-10.19116221,-7.537963265,-8.601553107,-7.70266255,-5.345598466,-9.219042242,-9.937765409,-9.569441679,-11.1061449,-11.2537809,-11.18900566,-11.10396862,-11.0531102,-10.95667369,-10.87044435,-10.56633174,-10.34001861,-9.496706988
CAG52,-11.24248134,-11.26011404,-10.59336041,-8.2155311,-9.071396535,-7.93661495,-5.553941373,-9.310037598,-10.13228432,-10.32544183,-11.27935774,-11.43006014,-11.33256178,-11.23874302,-11.27935774,-11.18193016,-11.03265959,-10.87302945,-10.62719449,-9.724490919
CAG53,-11.29370893,-11.30693664,-10.74979681,-8.703113307,-9.192495614,-7.953697544,-5.531298108,-9.239046243,-10.65316997,-10.58750674,-11.37014449,-11.32983326,-11.3257544,-11.23007424,-11.31093931,-11.20932914,-11.05207768,-10.97084492,-10.70577627,-9.681646347
CAG54,-11.25757597,-11.13937055,-10.74447158,-8.909525687,-9.207392262,-8.090086834,-5.715606891,-9.772405953,-10.75591771,-10.71457398,-11.26265857,-11.28846646,-11.20210889,-11.20091057,-11.12705926,-11.06767862,-11.07715736,-10.95761221,-10.69344387,-9.786570086
CAG55,-11.71774221,-11.57571289,-10.83079344,-8.283236942,-9.259114944,-8.695849115,-6.803626666,-10.67557987,-11.396008,-11.07188031,-11.67643841,-11.75039818,-11.7339369,-11.7339369,-11.65358027,-11.59862139,-11.55844131,-11.26648755,-10.97752752,-10.28246647
CAG56,-11.83251773,-11.72986357,-10.85931886,-8.302454476,-9.47515443,-9.137616663,-7.281727626,-11.11819984,-11.52311383,-11.24373056,-11.67259225,-11.80147311,-11.84156756,-11.81245017,-11.87390294,-11.83477252,-11.64420813,-11.33941581,-11.21417176,-10.73992955
CAG57,-11.66494403,-11.65735386,-10.77450849,-8.106878574,-10.43948934,-9.676417577,-7.495285872,-11.30030091,-11.54146297,-11.27290194,-11.85760456,-11.74007817,-11.72986357,-11.81909471,-11.8484091,-11.84156756,-11.622067,-11.37156393,-11.42555225,-11.09208301
CAG58,-11.56531419,-11.63307629,-11.31899305,-10.19948647,-10.74751109,-9.918979215,-7.578503638,-11.21781918,-11.44523494,-11.17724082,-11.62389349,-11.64982087,-11.62024385,-11.57571289,-11.68417539,-11.59862139,-11.7157362,-11.67836705,-11.56703981,-11.33941581
CAG59,-11.35048093,-11.31899305,-11.39020247,-10.89483581,-10.87130531,-9.952433931,-7.624469176,-10.94733655,-11.13937055,-11.0750432,-11.39020247,-11.37726196,-11.38012319,-11.43761876,-11.4421815,-11.4315673,-11.37014449,-11.43761876,-11.38443045,-11.21174752
