16764,20,,,,,,,,,,,,,,,,,,,
CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20,ZYGOSITY
13,22,118,3494,1078,2618,52794,718,377,911,156,218,164,111,122,131,147,183,243,782,HOMO
421,418,754,1861,3283,5528,23656,1281,4447,60922,581,387,454,377,314,310,324,319,295,386,HETERO
18,22,197,4613,1429,5596,127775,1825,986,1561,374,513,484,452,505,640,892,981,669,1568,HOMO
78,81,84,208,285,1327,40795,171,163,153,108,106,87,82,91,102,107,94,93,203,HOMO
3,7,14,109,133,1258,41217,55,55,106,26,50,47,19,26,23,25,50,88,417,HOMO
120,121,696,15181,3393,9887,211606,4210,1495,2345,648,865,918,804,888,1095,1497,1768,1380,3730,HOMO
0,0,5,7,8,26,143,197,2597,51500,144,54,49,79,152,9,2,2,2,1,HOMO
5,1,7,83,122,1295,41882,62,227,211,43,56,28,29,25,14,35,48,89,343,HOMO
4,11,92,2841,859,2282,44630,530,259,1055,87,92,60,67,57,58,82,77,101,410,HETERO
0,0,0,31,6,20,508,7,2,24,4,2,4,2,0,0,0,1,3,6,HOMO
24,33,58,295,160,985,19564,260,148,796,126,243,262,262,238,255,230,221,230,936,HOMO
19,42,92,151,273,1170,21296,219,99,304,26,20,50,35,34,24,36,34,34,66,HOMO
423,435,581,964,1635,6306,49589,1484,741,1123,596,541,557,514,514,513,463,491,493,920,HOMO
0,0,1,6,13,287,14239,78,708,13980,49,17,26,17,13,8,0,0,0,0,HETERO
0,0,0,1,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,HETERO
